Species,Species'DistanceToRattlesnakeNode,Species'MeanDurationOfVibration
,,
Atropoides_nummifer,0.10835573,1
,,
Porthidium_ophryomegas,0.151237528,2
,,
Rhinocerophis_alternatus,0.160408661,5.5
,,
Bothrops_mattogrossensis,0.179331281,9
,,
Bothriopsis_bilineata,0.162511317,7
,,
Bothriopsis_taeniata,0.159951624,2.5
,,
Bothrops_caribbaeus,0.157437386,3
,,
Bothrops_asper,0.16122858,4
,,
Bothrops_colombiensis,0.157224639,12.66666667
,,
Bothrops_atrox,0.162518617,8
,,
Bothrops_moojeni,0.162862701,7.888888889
,,
Mixcoatlus_melanurus,0.126655026,9
,,
Lachesis_muta,0.136294924,22
,,
Agkistrodon_contortrix,0.091458785,6.681818182
,,
Agkistrodon_piscivorus,0.105459655,4.2
,,
Agkistrodon_bilineatus,0.099712538,1.7
,,
Agkistrodon_taylori,0.097263895,1.5
,,
Sistrurus_miliarius,0,8
,,
Sistrurus_catenatus,0,3
,,
Crotalus_polystictus,0,17
,,
Crotalus_lepidus,0,12.66666667
,,
Crotalus_horridus,0,16.28571429
,,
Crotalus_durissus,0,16
,,
Crotalus_unicolor,0,35
,,
Crotalus_basiliscus,0,15
,,
Crotalus_molossus,0,45
,,
Crotalus_atrox,0,4
,,
Crotalus_catalinensis,0,12
,,
Crotalus_mitchellii,0,14.5
,,
Crotalus_adamanteus,0,16
,,
Crotalus_oreganus,0,1
,,
Euprepiophis_mandarinus,0.409587578,3
,,
Orthriophis_taeniurus,0.420109363,3
,,
Elaphe_climacophora,0.433623286,1
,,
Lampropeltis_calligaster,0.438865134,4
,,
Lampropeltis_getula,0.456560857,2.33
,,
Pantherophis_alleghaniensis,0.442031306,3
,,
Pantherophis_guttatus,0.43639054,3
,,
Pantherophis_obsoletus,0.473088256,4
,,
Pituophis_catenifer,0.43649132,6
,,
Pituophis_melanoleucus,0.436345388,18