Species,Species'DistanceToRattlesnakeNode,PercentOfSpeciesVibrating
,,
Protobothrops_mangshanensis,0.119368276,0
,,
Atropoides_nummifer,0.10835573,0.5
,,
Porthidium_dunni,0.169412131,0
,,
Porthidium_ophryomegas,0.151237528,1
,,
Rhinocerophis_alternatus,0.160408661,0.777777778
,,
Bothropoides_erythromelas,0.172815674,0
,,
Bothropoides_neuwiedi,0.179573155,0
,,
Bothrops_mattogrossensis,0.179331281,1
,,
Bothriopsis_bilineata,0.162511317,1
,,
Bothriopsis_taeniata,0.159951624,1
,,
Bothrops_caribbaeus,0.157437386,0.25
,,
Bothrops_asper,0.16122858,0.5
,,
Bothrops_colombiensis,0.157224639,0.75
,,
Bothrops_atrox,0.162518617,0.5
,,
Bothrops_moojeni,0.162862701,0.9
,,
Mixcoatlus_melanurus,0.126655026,0.666666667
,,
Lachesis_muta,0.136294924,1
,,
Bothriechis_schlegelii,0.127999124,0
,,
Bothriechis_aurifer,0.139003872,0
,,
Agkistrodon_contortrix,0.091458785,1
,,
Agkistrodon_piscivorus,0.105459655,0.714285714
,,
Agkistrodon_bilineatus,0.099712538,0.7
,,
Agkistrodon_taylori,0.097263895,1
,,
Sistrurus_miliarius,0,0.75
,,
Sistrurus_catenatus,0,1
,,
Crotalus_polystictus,0,1
,,
Crotalus_lepidus,0,1
,,
Crotalus_horridus,0,0.857142857
,,
Crotalus_durissus,0,0.666666667
,,
Crotalus_unicolor,0,1
,,
Crotalus_basiliscus,0,1
,,
Crotalus_molossus,0,1
,,
Crotalus_atrox,0,1
,,
Crotalus_catalinensis,0,1
,,
Crotalus_mitchellii,0,1
,,
Crotalus_adamanteus,0,0.666666667
,,
Crotalus_scutulatus,0,0
,,
Crotalus_oreganus,0,1
,,
Coelognathus_radiatus,0.478104937,0
,,
Coelognathus_flavolineatus,0.440364418,0
,,
Rhynchophis_boulengeri,0.396209279,0
,,
Euprepiophis_mandarinus,0.409587578,1
,,
Oreocryptophis_porphyraceus,0.404428798,0
,,
Orthriophis_taeniurus,0.420109363,0.666666667
,,
Elaphe_climacophora,0.433623286,1
,,
Lampropeltis_calligaster,0.438865134,1
,,
Lampropeltis_getula,0.456560857,0.75
,,
Lampropeltis_triangulum,0.446412035,0
,,
Pantherophis_alleghaniensis,0.442031306,1
,,
Pantherophis_guttatus,0.43639054,1
,,
Pantherophis_obsoletus,0.473088256,1
,,
Pituophis_catenifer,0.43649132,0.75
,,
Pituophis_melanoleucus,0.436345388,0.5
,,
Bogertophis_subocularis,0.458287523,0
,,
Senticolis_triaspis,0.476355057,0