Species,Species'DistanceToRattlesnakeNode,Species'MeanRateOfVibration
,,
Atropoides_nummifer,0.10835573,33.82
,,
Porthidium_ophryomegas,0.151237528,21.54
,,
Rhinocerophis_alternatus,0.160408661,28.79142857
,,
Bothrops_mattogrossensis,0.179331281,21.07
,,
Bothriopsis_bilineata,0.162511317,10.92
,,
Bothriopsis_taeniata,0.159951624,9.38
,,
Bothrops_caribbaeus,0.157437386,13.22
,,
Bothrops_asper,0.16122858,17.11
,,
Bothrops_colombiensis,0.157224639,15.56666667
,,
Bothrops_atrox,0.162518617,18.7
,,
Bothrops_moojeni,0.162862701,19.60555556
,,
Mixcoatlus_melanurus,0.126655026,21
,,
Lachesis_muta,0.136294924,37.21
,,
Agkistrodon_contortrix,0.091458785,37.75727273
,,
Agkistrodon_piscivorus,0.105459655,17.738
,,
Agkistrodon_bilineatus,0.099712538,35.09428571
,,
Agkistrodon_taylori,0.097263895,28.995
,,
Sistrurus_miliarius,0,59.66333333
,,
Sistrurus_catenatus,0,63.16
,,
Crotalus_polystictus,0,91.43
,,
Crotalus_lepidus,0,62.48
,,
Crotalus_horridus,0,53.74166667
,,
Crotalus_durissus,0,61.38125
,,
Crotalus_unicolor,0,53.58
,,
Crotalus_basiliscus,0,47.17
,,
Crotalus_molossus,0,64.1
,,
Crotalus_atrox,0,55.06666667
,,
Crotalus_catalinensis,0,64
,,
Crotalus_mitchellii,0,60.67
,,
Crotalus_adamanteus,0,67.625
,,
Crotalus_oreganus,0,57.26
,,
Euprepiophis_mandarinus,0.409587578,24.46
,,
Orthriophis_taeniurus,0.420109363,10.385
,,
Elaphe_climacophora,0.433623286,12.31
,,
Lampropeltis_calligaster,0.438865134,17.27
,,
Lampropeltis_getula,0.456560857,15.64
,,
Pantherophis_alleghaniensis,0.442031306,40.33
,,
Pantherophis_guttatus,0.43639054,45.79
,,
Pantherophis_obsoletus,0.473088256,45.65
,,
Pituophis_catenifer,0.43649132,45.96
,,
Pituophis_melanoleucus,0.436345388,43.47